Mol.,Sizes,Log P,HLB,FH,pol-dru
P2-Me,0,4.08,10.48,8.2,-20.1
PTX,0,3.2,10.38,11.78,-10.68
P2-C6,14.6,5.26,9.73,6.42,-18.77
P2-C14,16.6,7.29,8.74,5.09,-30.94
P2-C10,17.4,6.37,9.21,5.56,-23.24
P2-C18,17.4,7.94,8.32,4.91,-33.85
P2-I,0,4.46,9.5,8.9,-7.38
P7-Me,34.1,4.16,10.48,8.2,-15.63
C2-C6,141.1,5.93,10.09,2.95,-23.92
P2-Br,0,4.44,9.94,11.18,-11.27
P2-EG3,0,4.24,11.67,6.13,-10.39
P2-PhKe,0,4.87,9.83,8.65,-11.73
Cbz,0,3.73,10.84,5.08,-14.9
DTX,0,2.63,10.52,10.61,-4.94
P2-2CH,13.7,4.98,9.73,7.36,-21.27
D2-C6,14.2,4.9,9.79,5.56,-20.58
D2-2C16,15.1,7.34,8.5,4.42,-33.75
P2-2Dec,15.3,5.66,9.22,7.22,-24.31
P2-C8Ke,15.4,5.17,9.75,6.42,-25.87
C2-C18,15.9,8.33,8.59,3.32,-36.28
P7-2C16,16.6,7.63,8.51,4.97,-34.69
P7-Oley,17,7.87,8.34,5.22,-32.14
P7-C18,17.5,7.99,8.32,4.91,-37.62
Ful-C18,90.7,9.46,4.37,4.39,-43.2
LST-C8,81.4,7.81,7.39,11.58,-24.24
Abi-C18,106.4,10.9,3.37,9.79,-38.17
Abi-C8,32.4,9,4.28,5.69,-30.44
IDB-C18,32.4,9.28,6.6,5,-35.86
Abi,0,5.1,4.01,2.34,-17.71
Dox,0,1.41,13.81,7.41,-1.66
IDB,0,4.08,10.23,0.34,-13.05
LST,0,4.5,8.43,47.86,-10.09
SN38,0,1.41,12.2,2.19,-3.99
Dox-C18,16.7,6.34,9.75,3.03,-31.42
SN38-C18,18.5,8.7,7.8,3.42,-31.11
LST-C18,59.8,9.73,5.98,4.17,-32.69
IDB-C8,72.7,6.56,8.42,1.97,-28
Ful,19.8,6.54,5.25,0.51,-27.48
