Lib,Mol,Sizes,Pro-Pol,Par-Pol,Mod-Pol,Pro-PCL,Par-PCL,Mod-PCL,Pro-PEG,Par-PEG,Mod-PEG,Pro-Pro,Par-Par,Mod-Mod,Par-Mod
training,P2-Me,0,-20.1,-17.95,-2.13,-15.84,-14.33,-1.47,-4.95,-4.22,-0.75,-4.81,-4.06,-0.05,-0.405
training,P2-C6,14.6,-18.77,-14.24,-5.01,-15.07,-11.39,-4.1,-4.25,-3.22,-1.1,-6.87,-4.2,-0.52,-1.23
training,P2-C14,16.6,-30.94,-16.53,-15.71,-24.88,-12.56,-13.45,-6.94,-4.5,-2.61,-18.06,-4.54,-5.45,-4.765
training,P2-C10,17.4,-23.24,-14.04,-10.16,-19.37,-10.91,-9.36,-4.63,-3.66,-1.05,-14.56,-6.18,-2.65,-3.36
training,P2-C18,17.4,-33.85,-13.86,-21.76,-28.93,-11.3,-19.19,-6.07,-2.9,-3.4,-21.97,-3.82,-8.3,-5.745
training,P2-I,0,-7.38,-6.56,-0.9,-5.63,-5.12,-0.57,-1.95,-1.62,-0.37,-5.97,-4.41,-0.1,-0.81
training,P7-Me,34.1,-15.63,-14.89,-0.86,-13.07,-12.55,-0.63,-3.08,-2.85,-0.26,-7.81,-7.12,-0.02,-0.405
training,C2-C6,141.1,-23.92,-19.84,-4.7,-18.25,-13.45,-5.26,-6.5,-4.98,-1.7,-10,-6.02,-0.38,-1.965
training,P2-Br,0,-11.27,-9.76,-1.64,-8.71,-7.66,-1.17,-2.87,-2.35,-0.53,-4.93,-4.08,-0.04,-0.445
training,P2-EG3,0,-10.39,-8.99,-1.54,-8.67,-7.56,-1.2,-1.98,-1.67,-0.35,-5.53,-4.26,-0.11,-0.655
training,P2-PhKe,0,-11.73,-8.99,-2.99,-8.83,-6.84,-2.2,-3.25,-2.42,-0.89,-5.38,-3.85,-0.16,-0.8
training,P2-2CH,13.7,-21.27,-16.86,-4.67,-17.96,-14.22,-3.97,-3.9,-3.11,-0.85,-11.54,-6.03,-1,-2.505
training,D2-C6,14.2,-20.58,-14.43,-6.71,-15.93,-10.74,-5.62,-5.32,-4.13,-1.33,-6.65,-3.24,-0.66,-1.535
training,D2-2C16,15.1,-33.75,-14.57,-20.4,-29.07,-11.83,-18.28,-5.73,-3.14,-2.74,-21.02,-5.77,-7.42,-4.48
training,P2-2Dec,15.3,-24.31,-15.87,-9.2,-20.05,-12.56,-8.19,-4.91,-3.72,-1.26,-12.73,-6.85,-0.49,-3.015
training,P2-C8Ke,15.4,-25.87,-17.76,-8.74,-22,-15.23,-7.34,-4.81,-3.06,-1.85,-6.89,-3.71,-0.63,-1.44
training,C2-C18,15.9,-36.28,-16.25,-21.53,-28.75,-12.04,-17.88,-9.13,-4.75,-4.68,-19.72,-5.13,-6.26,-4.905
training,P7-2C16,16.6,-34.69,-18.52,-17.78,-26.98,-12.86,-15.32,-9.1,-6.33,-3.15,-19.44,-3.37,-6.3,-5.645
training,P7-Oley,17,-32.14,-14.12,-19.02,-25.88,-11.11,-15.54,-7.32,-3.34,-4.22,-20.41,-5.47,-4.71,-5.89
training,P7-C18,17.5,-37.62,-16.41,-22.68,-30.58,-11.57,-20.24,-8.36,-5.39,-3.2,-21.73,-4.81,-6.71,-5.93
training,Ful-C18,90.7,-43.2,-20.49,-24.5,-35.98,-17.38,-20.02,-8.79,-3.83,-5.34,-33.08,-11.16,-6.37,-8.71
training,LST-C8,81.4,-24.24,-14.65,-10.29,-17.92,-10.11,-8.35,-7.22,-5.1,-2.29,-23.63,-13.57,-1.89,-4.09
training,Abi-C18,106.4,-38.17,-17.02,-22.72,-32.72,-14.2,-19.88,-6.87,-3.33,-3.73,-23.78,-4.16,-8.48,-6.22
training,Abi-C8,32.4,-30.44,-19.86,-11.22,-25.01,-16.64,-8.9,-6.69,-3.94,-2.9,-15.82,-7.28,-1.87,-3.74
training,IDB-C18,32.4,-35.86,-15.72,-21.67,-30,-12.77,-18.46,-7.23,-3.55,-3.94,-31.69,-4.42,-7.48,-6.1
training,Dox-C18,16.7,-31.42,-8.73,-23.5,-28.05,-7.43,-21.34,-4.15,-1.47,-2.78,-17.25,-2.83,-6.77,-4.08
training,SN38-C18,18.5,-31.11,-7.88,-23.73,-26.22,-5.8,-20.86,-6.09,-2.36,-3.84,-20.9,-0.73,-10.36,-5.39
training,LST-C18,59.8,-32.69,-12.35,-21.6,-26.16,-8.76,-18.3,-7.74,-3.97,-4.1,-29.05,-13.95,-6.94,-6.58
training,IDB-C8,72.7,-28,-17.92,-10.98,-25,-16.08,-9.76,-3.93,-2.4,-1.64,-14.16,-7.27,-2.09,-3.22
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
