Mol,size,size,size,pdi,pdi,pdi
Blank,19.8,15.4,16.1,0.16,0.19,0.15
P2-2CH,10.9,13.6,16.6,0.21,0.2,0.22
P2-C6,15.7,12.9,15.2,0.19,0.16,0.13
P2-2Dec,16.7,12,17.2,0.19,0.17,0.19
P2-C8Ke,16.8,15.8,13.6,0.11,0.14,0.15
P2-C14,18.6,16.7,14.5,0.12,0.14,0.16
P7-2C16,17.2,16.4,16.2,0.18,0.14,0.18
P7-C18,16.8,17.2,18.5,0.13,0.13,0.14
P7-Oley,16.2,19.9,14.9,0.14,0.11,0.16
P2-C10,18.4,14.3,19.5,0.13,0.12,0.12
P2-C18,19.2,15.9,17.1,0.15,0.15,0.16
D2-2C16,12.6,13.8,18.9,0.17,0.16,0.19
D2-C6,16.5,10.7,15.4,0.16,0.17,0.16
C2-C18,16.9,12.2,18.6,0.16,0.11,0.19
Dox-C18,19.9,12.8,17.4,0.17,0.18,0.18
SN38-C18,19.2,16.7,19.6,0.14,0.16,0.17
P7-Me,42.5,29.8,30,0.22,0.23,0.18
C2-C6,152.8,123.1,147.4,0.19,0.19,0.18
Abi-C8,36.9,32.5,27.8,0.15,0.16,0.15
IDB-C18,35.9,38.7,22.6,0.24,0.27,0.25
LST-C18,66.4,48.3,64.7,0.19,0.22,0.17
IDB-C8,81.9,67.6,68.6,0.21,0.22,0.24
LST-C8,79.6,78.4,86.2,0.16,0.17,0.16
Ful-C18,102.8,87.5,81.8,0.11,0.11,0.15
Abi-C18,121.5,78.6,119.1,0.22,0.25,0.22
P2-Me,,,,,,
P2-Br,,,,,,
P2-EG3,,,,,,
P2-PhKe,,,,,,
P2-I,,,,,,
